iter	Passed	Remaining
0	2044	611320
1	4016	598460
2	5915	585657
3	7809	577893
4	9671	570617
5	11872	581735
6	13796	577485
7	15831	577839
8	18118	585830
9	20486	594112
10	23029	605040
11	25493	611851
12	28223	623081
13	30821	629631
14	33459	635737
15	36179	642187
16	38755	645165
17	41493	650059
18	44211	653870
19	46793	655103
20	49394	656236
21	51878	655552
22	54576	657290
23	57163	657378
24	59412	653535
25	61581	648974
26	64124	648366
27	66832	649233
28	69505	649519
29	72363	651271
30	74932	650223
31	77447	648625
32	80070	647839
33	82706	647054
34	84832	642300
35	87008	638058
36	89247	634383
37	91407	630232
38	93430	625268
39	95451	620434
40	97435	615508
41	99449	610905
42	101429	606220
43	103391	601548
44	105326	596849
45	107319	592591
46	109295	588333
47	111261	584124
48	113318	580466
49	115340	576704
50	117338	572888
51	119320	569068
52	121267	565152
53	123259	561516
54	125375	558490
55	127864	557125
56	130071	554513
57	132069	551047
58	134007	547384
59	136025	544102
60	138072	540974
61	140450	539148
62	142461	535927
63	144499	532840
64	146472	529556
65	148540	526644
66	150603	523739
67	152646	520794
68	154667	517801
69	156699	514869
70	159038	512955
71	162144	513458
72	165171	513615
73	168134	513491
74	171089	513268
75	173943	512676
76	176758	511911
77	180078	512531
78	183037	512041
79	186215	512091
80	189030	511081
81	191751	509778
82	194501	508516
83	196698	505796
84	199323	504171
85	201354	501044
86	203387	497948
87	205330	494660
88	207370	491630
89	209381	488555
90	211540	485846
91	213817	483414
92	216155	481119
93	218136	478043
94	220121	474999
95	222101	471965
96	224072	468936
97	226000	465838
98	227890	462686
99	229956	459912
100	232000	457109
101	234064	454361
102	236710	452738
103	239719	451778
104	242978	451244
105	246150	450501
106	249112	449333
107	252015	448028
108	254934	446719
109	257836	445353
110	261060	444508
111	263993	443131
112	267047	441928
113	270234	440908
114	272709	438706
115	275152	436448
116	277158	433504
117	279198	430628
118	281240	427768
119	283261	424892
120	285290	422041
121	287308	419188
122	289385	416432
123	291419	413626
124	293432	410805
125	295471	408032
126	297535	405304
127	299559	402533
128	301597	399792
129	303650	397082
130	305767	394463
131	307787	391729
132	309807	389006
133	312334	386921
134	315643	385786
135	319204	384922
136	322758	384012
137	326064	382771
138	329231	381340
139	332229	379691
140	335851	378726
141	339144	377357
142	342014	375498
143	344898	373639
144	347792	371778
145	350209	369398
146	352298	366678
147	354240	363815
148	356116	360896
149	358028	358028
150	359942	355175
151	361912	352388
152	364082	349805
153	366225	347201
154	368543	344766
155	370562	342057
156	372769	339528
157	375425	337407
158	378547	335692
159	381530	333839
160	384613	332057
161	387983	330504
162	391316	328897
163	394246	326936
164	397142	324934
165	400234	323080
166	403287	321180
167	406203	319159
168	408852	316920
169	411174	314427
170	413779	312149
171	415838	309460
172	417839	306737
173	419988	304129
174	422533	301809
175	425177	299556
176	427828	297304
177	430426	295011
178	432930	292651
179	435312	290208
180	437916	287911
181	440534	285621
182	443195	283354
183	445815	281057
184	448396	278732
185	451397	276662
186	453800	274221
187	456405	271901
188	458721	269407
189	460855	266811
190	463076	264268
191	465331	261748
192	467458	259160
193	469537	256551
194	471662	253972
195	473923	251469
196	476031	248889
197	478258	246375
198	480775	244011
199	483218	241609
200	485823	239286
201	488373	236933
202	490795	234518
203	493305	232143
204	495915	229814
205	498392	227421
206	501142	225151
207	503580	222737
208	505887	220266
209	508435	217900
210	510559	215354
211	512702	212819
212	514861	210295
213	517055	207788
214	519174	205254
215	521318	202734
216	523593	200268
217	525817	197784
218	528455	195456
219	530946	193071
220	533421	190680
221	535980	188317
222	538513	185944
223	541411	183693
224	544514	181504
225	547661	179322
226	550863	177149
227	553831	174894
228	556705	172603
229	560244	170509
230	563475	168310
231	566606	166074
232	569647	163804
233	573092	161641
234	576188	159371
235	579234	157080
236	582367	154806
237	585379	152493
238	588286	150148
239	591387	147846
240	594518	145545
241	597483	143198
242	599964	140732
243	602353	138245
244	604771	135765
245	607582	133371
246	610184	130930
247	612951	128522
248	615655	126098
249	618523	123704
250	621492	121327
251	624013	118859
252	626712	116424
253	629518	114007
254	632051	111538
255	634694	109088
256	637407	106647
257	639893	104168
258	642377	101689
259	644928	99219
260	647450	96745
261	649958	94268
262	652485	91794
263	654962	89313
264	657400	86826
265	659795	84334
266	662233	81849
267	664642	79360
268	666937	76858
269	669445	74382
270	672172	71929
271	674909	69475
272	677680	67023
273	680521	64575
274	683268	62115
275	686113	59662
276	688886	57200
277	691400	54715
278	693810	52222
279	696702	49764
280	699550	47300
281	702211	44822
282	704692	42331
283	707152	39839
284	709612	37348
285	712066	34856
286	714723	32374
287	717269	29886
288	719753	27395
289	722272	24905
290	724769	22415
291	727227	19924
292	729744	17434
293	732242	14943
294	734818	12454
295	737471	9965
296	740361	7478
297	743186	4987
298	745903	2494
299	748667	0
